model_id,model_name,organization,total_params_b,active_params_b,context_k,modalities,workloads,license,openness,vllm_status,source,notes,verified_repo,verified_revision,verified_endpoint,verified_at,artifact_params_b,license_id,context_source,attention_kind,kv_elems_per_token_per_layer,attention_layers,attention_basis,has_recipe
qwen35-122b,Qwen3.5-122B-A10B,Qwen,122,10,256,text;image,general;coding;multimodal,Apache-2.0,open-source,verify,https://huggingface.co/Qwen,"工作区候选；上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1,010,000",Qwen/Qwen3.5-122B-A10B,dc4d348443bc740c68e2d77492492c11606384d5,hf-mirror.com,2026-09-16,125.09,apache-2.0,config,hybrid-linear,1024,12,"混合线性注意力:48 层里只有 12 层是 full_attention,其余线性层的状态不随上下文增长",
qwen3-235b,Qwen3-235B-A22B-Instruct-2507,Qwen,235,22,256,text,general;reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,"上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1,010,000",Qwen/Qwen3-235B-A22B-Instruct-2507,ac9c66cc9b46af7306746a9250f23d47083d689e,hf-mirror.com,2026-09-16,235.09,apache-2.0,config,gqa,1024,94,"GQA/MHA:2 x 4 个 KV 头 x 128 维,共 94 层",
qwen3-235b-thinking,Qwen3-235B-A22B-Thinking-2507,Qwen,235,22,256,text,reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507,"上下文取自仓库 config.json(262144)；模型卡:262,144 原生",Qwen/Qwen3-235B-A22B-Thinking-2507,6cbffae6d8e28b986a6b17bd36f42f9fa0f1f0a5,hf-mirror.com,2026-09-16,235.09,apache-2.0,config,,,,未记录,
qwen3-coder-480b,Qwen3-Coder-480B-A35B-Instruct,Qwen,480,35,256,text,coding;agent,Apache-2.0,open-source,verify,https://huggingface.co/Qwen,"上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1M(YaRN)",Qwen/Qwen3-Coder-480B-A35B-Instruct,9d90cf8fca1bf7b7acca42d3fc9ae694a2194069,hf-mirror.com,2026-09-16,480.15,apache-2.0,config,,,,未记录,
qwen3-coder-30b,Qwen3-Coder-30B-A3B-Instruct,Qwen,30,3,256,text,coding;agent,Apache-2.0,open-source,supported,https://huggingface.co/Qwen,"上下文取自仓库 config.json(262144)；模型卡:262,144 原生,可扩展到约 1M(YaRN)",Qwen/Qwen3-Coder-30B-A3B-Instruct,b2cff646eb4bb1d68355c01b18ae02e7cf42d120,hf-mirror.com,2026-09-16,30.53,apache-2.0,config,gqa,1024,48,"GQA/MHA:2 x 4 个 KV 头 x 128 维,共 48 层",
qwen3-30b,Qwen3-30B-A3B,Qwen,30,3,128,text,general;reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-30B-A3B,"上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-30B-A3B,ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,hf-mirror.com,2026-09-16,30.53,apache-2.0,card,,,,未记录,
qwen3-32b,Qwen3-32B,Qwen,32,32,128,text,general;reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-32B,"上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-32B,9216db5781bf21249d130ec9da846c4624c16137,hf-mirror.com,2026-09-16,32.76,apache-2.0,card,gqa,2048,64,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 64 层",
qwen3-14b,Qwen3-14B,Qwen,14,14,128,text,general;reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-14B,"上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-14B,40c069824f4251a91eefaf281ebe4c544efd3e18,hf-mirror.com,2026-09-16,14.77,apache-2.0,card,gqa,2048,40,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 40 层",
qwen3-8b,Qwen3-8B,Qwen,8,8,128,text,general;reasoning;coding,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-8B,"上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,hf-mirror.com,2026-09-16,8.19,apache-2.0,card,gqa,2048,36,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 36 层",
qwen3-4b,Qwen3-4B,Qwen,4,4,128,text,general;edge,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-4B,"上下文:官方模型卡:32,768 原生 / 131,072(需在 config.json 打开 YaRN)",Qwen/Qwen3-4B,1cfa9a7208912126459214e8b04321603b3df60c,hf-mirror.com,2026-09-16,4.02,apache-2.0,card,gqa,2048,36,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 36 层",
qwen3-17b,Qwen3-1.7B,Qwen,1.7,1.7,32,text,general;edge,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-1.7B,"上下文:官方模型卡:32,768",Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,hf-mirror.com,2026-09-16,2.03,apache-2.0,card,,,,未记录,
qwen3-06b,Qwen3-0.6B,Qwen,0.6,0.6,32,text,edge;classification,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen3-0.6B,"上下文:官方模型卡:32,768",Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,hf-mirror.com,2026-09-16,0.75,apache-2.0,card,,,,未记录,
qwen25-72b,Qwen2.5-72B-Instruct,Qwen,72,72,128,text,general;coding;chinese,Qwen License,open-weights,supported,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-72B-Instruct,495f39366efef23836d0cfae4fbe635880d2be31,hf-mirror.com,2026-09-16,72.71,other:qwen,card,,,,未记录,
qwen25-32b,Qwen2.5-32B-Instruct,Qwen,32,32,128,text,general;coding;chinese,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-32B-Instruct,5ede1c97bbab6ce5cda5812749b4c0bdf79b18dd,hf-mirror.com,2026-09-16,32.76,apache-2.0,card,,,,未记录,
qwen25-14b,Qwen2.5-14B-Instruct,Qwen,14,14,128,text,general;coding;chinese,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,hf-mirror.com,2026-09-16,14.77,apache-2.0,card,,,,未记录,
qwen25-7b,Qwen2.5-7B-Instruct,Qwen,7,7,128,text,general;coding;chinese,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,hf-mirror.com,2026-09-16,7.62,apache-2.0,card,,,,未记录,
qwen25-3b,Qwen2.5-3B-Instruct,Qwen,3,3,32,text,general;edge,Qwen Research License,open-weights,supported,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,"上下文:官方模型卡:32,768(需打开 YaRN)",Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,hf-mirror.com,2026-09-16,3.09,other:qwen-research,card,,,,未记录,
qwen25-coder-32b,Qwen2.5-Coder-32B-Instruct,Qwen,32,32,128,text,coding;agent,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-Coder-32B-Instruct,381fc969f78efac66bc87ff7ddeadb7e73c218a7,hf-mirror.com,2026-09-16,32.76,apache-2.0,card,,,,未记录,
qwen25-vl-72b,Qwen2.5-VL-72B-Instruct,Qwen,72,72,128,text;image;video,multimodal;ocr;general,Qwen License,open-weights,supported,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-VL-72B-Instruct,89c86200743eec961a297729e7990e8f2ddbc4c5,hf-mirror.com,2026-09-16,73.41,other:qwen,card,,,,未记录,
qwen25-vl-32b,Qwen2.5-VL-32B-Instruct,Qwen,32,32,128,text;image;video,multimodal;ocr;general,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-VL-32B-Instruct,7cfb30d71a1f4f49a57592323337a4a4727301da,hf-mirror.com,2026-09-16,33.45,apache-2.0,card,,,,未记录,
qwen25-vl-7b,Qwen2.5-VL-7B-Instruct,Qwen,7,7,128,text;image;video,multimodal;ocr;general,Apache-2.0,open-source,supported,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,"上下文:官方模型卡:131,072 全量 / 32,768 默认(需打开 YaRN)",Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,hf-mirror.com,2026-09-16,8.29,apache-2.0,card,,,,未记录,
llama4-maverick,Llama-4-Maverick-17B-128E-Instruct,Meta,400,17,1000,text;image,general;multimodal;reasoning,Llama 4 Community,open-weights,supported,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,MoE,meta-llama/Llama-4-Maverick-17B-128E-Instruct,73d14711bcc77c16df3470856949c3764056b617,hf-mirror.com,2026-09-16,401.58,other:llama4,,,,,未记录,
llama4-scout,Llama-4-Scout-17B-16E-Instruct,Meta,109,17,10000,text;image,general;multimodal;long-context,Llama 4 Community,open-weights,supported,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,MoE超长上下文需巨量KV,meta-llama/Llama-4-Scout-17B-16E-Instruct,92f3b1597a195b523d8d9e5700e57e4fbb8f20d3,hf-mirror.com,2026-09-16,108.64,other:llama4,,,,,未记录,
llama33-70b,Llama-3.3-70B-Instruct,Meta,70,70,128,text,general;english;reasoning,Llama 3.3 Community,open-weights,supported,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,,meta-llama/Llama-3.3-70B-Instruct,6f6073b423013f6a7d4d9f39144961bfbfbc386b,hf-mirror.com,2026-09-16,70.55,llama3.3,,,,,未记录,
llama31-405b,Meta-Llama-3.1-405B-Instruct,Meta,405,405,128,text,general;english;reasoning,Llama 3.1 Community,open-weights,supported,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,"上下文:官方模型卡标称 128K;仓库 gated,config.json 无法直取",meta-llama/Meta-Llama-3.1-405B-Instruct,be673f326cab4cd22ccfef76109faf68e41aa5f1,hf-mirror.com,2026-09-16,405.85,llama3.1,card,,,,"config 里缺少 attention 结构字段,无法计算",
llama31-70b,Meta-Llama-3.1-70B-Instruct,Meta,70,70,128,text,general;english,Llama 3.1 Community,open-weights,supported,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,,meta-llama/Meta-Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,hf-mirror.com,2026-09-16,70.55,llama3.1,,,,,未记录,
llama31-8b,Meta-Llama-3.1-8B-Instruct,Meta,8,8,128,text,general;english;edge,Llama 3.1 Community,open-weights,supported,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B-Instruct,,meta-llama/Meta-Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,hf-mirror.com,2026-09-16,8.03,llama3.1,,,,,未记录,
llama32-vision-90b,Llama-3.2-90B-Vision-Instruct,Meta,90,90,128,text;image,multimodal;general,Llama 3.2 Community,open-weights,supported,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,,meta-llama/Llama-3.2-90B-Vision-Instruct,e305d2a43a4adc6987308fe7d896fb8ec5f1a5d8,hf-mirror.com,2026-09-16,88.59,llama3.2,,,,,未记录,
llama32-vision-11b,Llama-3.2-11B-Vision-Instruct,Meta,11,11,128,text;image,multimodal;edge,Llama 3.2 Community,open-weights,supported,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct,,meta-llama/Llama-3.2-11B-Vision-Instruct,9eb2daaa8597bf192a8b0e73f848f3a102794df5,hf-mirror.com,2026-09-16,10.67,llama3.2,,,,,未记录,
mixtral-8x22b,Mixtral-8x22B-Instruct-v0.1,Mistral AI,141,39,64,text,general;reasoning,Apache-2.0,open-source,supported,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,MoE；上下文取自仓库 config.json(65536),mistralai/Mixtral-8x22B-Instruct-v0.1,cc88a6cc19fbd17d9f1c0ee0b0d70a748dce698d,hf-mirror.com,2026-09-16,140.63,apache-2.0,config,,,,未记录,
mixtral-8x7b,Mixtral-8x7B-Instruct-v0.1,Mistral AI,47,13,32,text,general;reasoning,Apache-2.0,open-source,supported,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,MoE；上下文取自仓库 config.json(32768),mistralai/Mixtral-8x7B-Instruct-v0.1,eba92302a2861cdc0098cc54bc9f17cb2c47eb61,hf-mirror.com,2026-09-16,46.7,apache-2.0,config,,,,未记录,
mistral-large-123b,Mistral-Large-Instruct-2407,Mistral AI,123,123,128,text,general;reasoning;coding,Mistral Research License,open-weights,supported,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,商用许可需核查,mistralai/Mistral-Large-Instruct-2407,a286006d554cb37a61d13c7ae61bc90cc1d372fc,hf-mirror.com,2026-09-16,122.61,other:mrl,,,,,未记录,
mistral-small-24b,Mistral-Small-24B-Instruct-2501,Mistral AI,24,24,32,text,general;coding,Apache-2.0,open-source,supported,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,上下文取自仓库 config.json(32768),mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,hf-mirror.com,2026-09-16,23.57,apache-2.0,config,,,,未记录,
mistral-nemo-12b,Mistral-Nemo-Instruct-2407,Mistral AI,12,12,128,text,general;long-context,Apache-2.0,open-source,supported,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,上下文取自仓库 config.json(131072),mistralai/Mistral-Nemo-Instruct-2407,04d8a90549d23fc6bd7f642064003592df51e9b3,hf-mirror.com,2026-09-16,12.25,apache-2.0,config,,,,未记录,
codestral-22b,Codestral-22B-v0.1,Mistral AI,22,22,32,text,coding;fim,MNPL,open-weights,supported,https://huggingface.co/mistralai/Codestral-22B-v0.1,商用许可需核查；上下文取自仓库 config.json(32768),mistralai/Codestral-22B-v0.1,28b1c1a51dabe9d86ca8c41420ada1984632498f,hf-mirror.com,2026-09-16,22.25,other:mnpl,config,,,,未记录,
gemma3-27b,Gemma-3-27B-IT,Google,27,27,128,text;image,general;multimodal,Gemma License,open-weights,supported,https://huggingface.co/google/gemma-3-27b-it,,google/gemma-3-27b-it,005ad3404e59d6023443cb575daa05336842228a,hf-mirror.com,2026-09-16,27.43,gemma,,,,,未记录,
gemma3-12b,Gemma-3-12B-IT,Google,12,12,128,text;image,general;multimodal,Gemma License,open-weights,supported,https://huggingface.co/google/gemma-3-12b-it,,google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,hf-mirror.com,2026-09-16,12.19,gemma,,,,,未记录,
gemma3-4b,Gemma-3-4B-IT,Google,4,4,128,text;image,general;multimodal;edge,Gemma License,open-weights,supported,https://huggingface.co/google/gemma-3-4b-it,,google/gemma-3-4b-it,093f9f388b31de276ce2de164bdc2081324b9767,hf-mirror.com,2026-09-16,4.3,gemma,,,,,未记录,
gemma3-1b,Gemma-3-1B-IT,Google,1,1,32,text,general;edge,Gemma License,open-weights,supported,https://huggingface.co/google/gemma-3-1b-it,,google/gemma-3-1b-it,dcc83ea841ab6100d6b47a070329e1ba4cf78752,hf-mirror.com,2026-09-16,1,gemma,,,,,未记录,
phi4,Phi-4,Microsoft,14,14,16,text,reasoning;general,MIT,open-source,supported,https://huggingface.co/microsoft/phi-4,上下文取自仓库 config.json(16384),microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,hf-mirror.com,2026-09-16,14.66,mit,config,,,,未记录,
phi4-multimodal,Phi-4-multimodal-instruct,Microsoft,5.6,5.6,128,text;image;audio,multimodal;edge,MIT,open-source,verify,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,上下文取自仓库 config.json(131072),microsoft/Phi-4-multimodal-instruct,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,hf-mirror.com,2026-09-16,5.57,mit,config,,,,未记录,
glm52,GLM-5.2,Z.ai,744,,1024,text,agent;coding;reasoning,MIT,open-source,patched,https://huggingface.co/zai-org/GLM-5.2,A100需PR38476 Triton兜底；上下文取自仓库 config.json(1048576),zai-org/GLM-5.2,cf457fa734ab149ffef225f80893eb38c6ff5cdc,hf-mirror.com,2026-09-16,753.33,mit,config,mla,576,78,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
glm45,GLM-4.5,Z.ai,355,32,128,text,agent;coding;reasoning,MIT,open-source,supported,https://huggingface.co/zai-org/GLM-4.5,MoE；上下文取自仓库 config.json(131072),zai-org/GLM-4.5,cbb2c7cfb52fa128a9660cb1a7a78e017899e115,hf-mirror.com,2026-09-16,358.34,mit,config,,,,未记录,
glm45-air,GLM-4.5-Air,Z.ai,106,12,128,text,agent;coding;general,MIT,open-source,supported,https://huggingface.co/zai-org/GLM-4.5-Air,MoE；上下文取自仓库 config.json(131072),zai-org/GLM-4.5-Air,a24ceef6ce4f3536971efe9b778bdaa1bab18daa,hf-mirror.com,2026-09-16,110.47,mit,config,,,,未记录,
kimi-k2,Kimi-K2-Instruct,Moonshot AI,1000,32,128,text,agent;coding;reasoning,Modified MIT,open-weights,supported,https://huggingface.co/moonshotai/Kimi-K2-Instruct,MoE+MLA；上下文取自仓库 config.json(131072),moonshotai/Kimi-K2-Instruct,fd1984e2b7a3350dbf7305fe73a4ede25c14de50,hf-mirror.com,2026-09-16,1026.41,other:modified-mit,config,,,,未记录,
kimi-k2-thinking,Kimi-K2-Thinking,Moonshot AI,1000,32,256,text,reasoning;agent;coding,Modified MIT,open-weights,verify,https://huggingface.co/moonshotai,版本与许可证需锁定,moonshotai/Kimi-K2-Thinking,a51ccc050d73dab088bf7b0e2dd9b30ae85a4e55,hf-mirror.com,2026-09-16,1026.41,other:modified-mit,,,,,未记录,
kimi-k26,Kimi-K2.6,Moonshot AI,1000,32,256,text,agent;coding;reasoning,Modified MIT,open-weights,verify,https://huggingface.co/moonshotai,工作区未来候选；上下文取自仓库 config.json(262144),moonshotai/Kimi-K2.6,7eb5002f6aadc958aed6a9177b7ed26bb94011bb,hf-mirror.com,2026-09-16,1026.88,other:modified-mit,config,mla,576,61,"MLA:kv_lora_rank 512 + qk_rope_head_dim 64,各头共享不乘 2",
minimax-m2,MiniMax-M2,MiniMax,230,10,192,text,agent;coding,Modified MIT,open-weights,verify,https://huggingface.co/MiniMaxAI,Lightning attention；上下文取自仓库 config.json(196608),MiniMaxAI/MiniMax-M2,757303d492a50514c312788b5247a4f696a4c6a3,hf-mirror.com,2026-09-16,228.69,other:modified-mit,config,,,,未记录,
minimax-m21,MiniMax-M2.1,MiniMax,230,10,192,text,agent;coding,Modified MIT,open-weights,verify,https://huggingface.co/MiniMaxAI,上下文取自仓库 config.json(196608),MiniMaxAI/MiniMax-M2.1,cd97f59135f37b2a6bf09356e485d5e4aeb7dc9c,hf-mirror.com,2026-09-16,228.69,other:modified-mit,config,,,,未记录,
minimax-m27,MiniMax-M2.7,MiniMax,230,10,200,text,agent;coding,厂商自定义许可(HF: other),open-weights,verify,https://huggingface.co/MiniMaxAI,工作区已建部署档；上下文取自仓库 config.json(204800),MiniMaxAI/MiniMax-M2.7,d494266a4affc0d2995ba1fa35c8481cbd84294b,hf-mirror.com,2026-09-16,228.69,other:other,config,gqa,2048,62,"GQA/MHA:2 x 8 个 KV 头 x 128 维,共 62 层",
gpt-oss-120b,gpt-oss-120b,OpenAI,117,5.1,128,text,reasoning;agent;coding,Apache-2.0,open-source,supported,https://huggingface.co/openai/gpt-oss-120b,MXFP4；上下文取自仓库 config.json(131072),openai/gpt-oss-120b,b5c939de8f754692c1647ca79fbf85e8c1e70f8a,hf-mirror.com,2026-09-16,116.83,apache-2.0,config,,,,未记录,
gpt-oss-20b,gpt-oss-20b,OpenAI,21,3.6,128,text,reasoning;agent;coding,Apache-2.0,open-source,supported,https://huggingface.co/openai/gpt-oss-20b,MXFP4；上下文取自仓库 config.json(131072),openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,hf-mirror.com,2026-09-16,20.91,apache-2.0,config,,,,未记录,
command-r-plus,Command-R-Plus,Cohere,104,104,128,text,rag;general;tool-use,CC-BY-NC-4.0,open-weights,supported,https://huggingface.co/CohereForAI/c4ai-command-r-plus,非商用限制,CohereForAI/c4ai-command-r-plus,3de12c88b4c6c882389a6f424cc2074383aa17d8,hf-mirror.com,2026-09-16,103.81,cc-by-nc-4.0,,,,,未记录,
dbrx-instruct,DBRX-Instruct,Databricks,132,36,32,text,general;coding,DBRX License(未能核实),open-weights,supported,https://huggingface.co/databricks/dbrx-instruct,"MoE；许可:官方仓库 gated、镜像未返回许可字段,未能核实;沿用原登记名并标注未核实；上下文取自仓库 config.json(32768)；核实来源:官方 databricks/dbrx-instruct 为 gated(API 返回 401,config 也取不到),登记值改由社区镜像核实;另一镜像 LnL-AI/dbrx-base-converted-v2 给出相同的 131.6B / 245.1GiB,两处相互印证",alpindale/dbrx-instruct,8007650525bf3b67d6a4763caf02230061452d45,hf-mirror.com,2026-09-16,131.6,other,config,,,,未记录,
falcon-180b-chat,Falcon-180B-Chat,TII,180,180,2,text,general;legacy,Falcon-180B TII License,open-weights,supported,https://huggingface.co/tiiuae/falcon-180B-chat,"旧模型；许可:HF 未给出可核实的许可名,沿用原登记值(未能核实)",tiiuae/falcon-180B-chat,6882299beda36df40e683c4478edfcc94f2cde5f,hf-mirror.com,2026-09-16,179.52,,,,,,未记录,
falcon-40b-instruct,Falcon-40B-Instruct,TII,40,40,2,text,general;legacy,Apache-2.0,open-source,supported,https://huggingface.co/tiiuae/falcon-40b-instruct,"旧模型；参数量:该 artifact 未发布 safetensors 参数索引,无法从仓库独立核实,沿用官方标称值",tiiuae/falcon-40b-instruct,ecb78d97ac356d098e79f0db222c9ce7c5d9ee5f,hf-mirror.com,2026-09-16,,apache-2.0,,,,,未记录,
